arg0 [1,1,1025,2]
Circle.pseudo_const35 [160,1,1,640]
Initializer_onnx::Conv_753 [160]
/ffn/ffn.1/conv_4/Conv [1,1,64,160]
/Add_13 [1,1,64,160]
/freq_mix/freq_mix.0/conv_4/Conv/pads [1,1,66,160]
Circle.pseudo_const34 [160,1,3,160]
Initializer_onnx::Conv_756 [160]
/freq_mix/freq_mix.0/conv_4/Conv;/freq_mix/freq_mix.0/act_4/Relu [1,1,64,160]
Circle.pseudo_const33 [160,1,1,160]
Initializer_onnx::Conv_759 [160]
/freq_mix/freq_mix.1/conv_4/Conv [1,1,64,160]
/Add_14 [1,1,64,160]
/Concat_4 [1,2,64,160]
Circle.pseudo_const32 [160,2,1,160]
Initializer_onnx::Conv_762 [160]
/conv_4/Conv;/act_4/Relu [1,1,64,160]
Circle.pseudo_const31 [160,1,1,160]
Initializer_onnx::Conv_765 [160]
/time_proj/conv_4/Conv [1,1,64,160]
/Add_15 [1,1,64,160]
Circle.pseudo_const30 [640,1,1,160]
Initializer_onnx::Conv_768 [640]
/ffn/ffn.0/conv_5/Conv;/ffn/ffn.0/act_5/Relu [1,1,64,640]
Circle.pseudo_const29 [160,1,1,640]
Initializer_onnx::Conv_771 [160]
/ffn/ffn.1/conv_5/Conv [1,1,64,160]
/Add_16 [1,1,64,160]
/freq_mix/freq_mix.0/conv_5/Conv/pads [1,1,66,160]
Circle.pseudo_const28 [160,1,3,160]
Initializer_onnx::Conv_774 [160]
/freq_mix/freq_mix.0/conv_5/Conv;/freq_mix/freq_mix.0/act_5/Relu [1,1,64,160]
Circle.pseudo_const27 [160,1,1,160]
Initializer_onnx::Conv_777 [160]
/freq_mix/freq_mix.1/conv_5/Conv [1,1,64,160]
/Add_17 [1,1,64,160]
/Concat_5 [1,2,64,160]
Circle.pseudo_const26 [160,2,1,160]
Initializer_onnx::Conv_780 [160]
/conv_5/Conv;/act_5/Relu [1,1,64,160]
Circle.pseudo_const25 [160,1,1,160]
Initializer_onnx::Conv_783 [160]
/time_proj/conv_5/Conv [1,1,64,160]
/Add_18 [1,1,64,160]
Circle.pseudo_const24 [640,1,1,160]
Initializer_onnx::Conv_786 [640]
/ffn/ffn.0/conv_6/Conv;/ffn/ffn.0/act_6/Relu [1,1,64,640]
Circle.pseudo_const23 [160,1,1,640]
Initializer_onnx::Conv_789 [160]
/ffn/ffn.1/conv_6/Conv [1,1,64,160]
/Add_19 [1,1,64,160]
/freq_mix/freq_mix.0/conv_6/Conv/pads [1,1,66,160]
Circle.pseudo_const22 [160,1,3,160]
Initializer_onnx::Conv_792 [160]
/freq_mix/freq_mix.0/conv_6/Conv;/freq_mix/freq_mix.0/act_6/Relu [1,1,64,160]
Circle.pseudo_const21 [160,1,1,160]
Initializer_onnx::Conv_795 [160]
/freq_mix/freq_mix.1/conv_6/Conv [1,1,64,160]
/Add_20 [1,1,64,160]
/Concat_6 [1,2,64,160]
Circle.pseudo_const20 [160,2,1,160]
Initializer_onnx::Conv_798 [160]
/conv_6/Conv;/act_6/Relu [1,1,64,160]
Circle.pseudo_const19 [160,1,1,160]
Initializer_onnx::Conv_801 [160]
/time_proj/conv_6/Conv [1,1,64,160]
/Add_21 [1,1,64,160]
Circle.pseudo_const18 [640,1,1,160]
Initializer_onnx::Conv_804 [640]
/ffn/ffn.0/conv_7/Conv;/ffn/ffn.0/act_7/Relu [1,1,64,640]
Circle.pseudo_const17 [160,1,1,640]
Initializer_onnx::Conv_807 [160]
