rank,score,name,op,depth,rough_ops,latency_risk,boundary_risk,qerror,eligible,output_shape,producers,consumers,reasons
92,30.605,/Add_9,ADD,114,32800,13.899,13.000,0,1,1x1x1025x32,124;126,128,late-stage node
93,29.500,/Add_8,ADD,105,147600,15.910,13.000,0,1,1x4x1025x36,117,119,late-stage node
94,23.061,/Add_1,ADD,16,1152,9.434,13.000,0,1,1x1x36x32,15;17,19,low-priority fallback
95,22.047,/freq_path/Add,ADD,26,4608,11.278,13.000,0,1,1x1x36x128,20;28,30;33,low-priority fallback
96,22.047,/freq_path/Add_1,ADD,30,4608,11.278,13.000,0,1,1x1x36x128,29;32,34;42,low-priority fallback
97,22.047,/Add_4,ADD,58,4608,11.278,13.000,0,1,1x1x36x128,55;63,65;73,low-priority fallback
98,22.047,/freq_path_1/Add,ADD,66,4608,11.278,13.000,0,1,1x1x36x128,64;72,74;77,low-priority fallback
99,22.047,/freq_path_1/Add_1,ADD,70,4608,11.278,13.000,0,1,1x1x36x128,73;76,78;86,low-priority fallback
100,19.500,/Add,ADD,7,147600,15.910,13.000,0,1,1x4x36x1025,8,10,low-priority fallback
101,-1011.939,/value_proj_1/Conv/post_tr,TRANSPOSE,102,1152,9.434,17.000,0,0,1x32x1x36,111,113,name hint: value; late-stage node; memory/shape op: avoid isolated int16; excluded op type
102,-1011.939,/key_proj_1/Conv/post_tr,TRANSPOSE,102,1152,9.434,17.000,0,0,1x32x1x36,114,116,name hint: key; late-stage node; memory/shape op: avoid isolated int16; excluded op type
103,-1020.396,/output/Conv/pads,PAD,115,32864,13.902,25.000,0,0,1x1x1027x32,127,129,name hint: out; late-stage node; memory/shape op: avoid isolated int16; excluded op type
104,-1024.395,/value_proj/Conv/post_tr,TRANSPOSE,4,32800,13.899,17.000,0,0,1x32x1x1025,2,4,name hint: value; memory/shape op: avoid isolated int16; excluded op type
105,-1024.395,/key_proj/Conv/post_tr,TRANSPOSE,4,32800,13.899,17.000,0,0,1x32x1x1025,5,7,name hint: key; memory/shape op: avoid isolated int16; excluded op type
106,-1025.395,/aggregate/conv_1/Conv/pre_tr,TRANSPOSE,110,32800,13.899,17.000,0,0,1x1x1025x32,122,124,late-stage node; memory/shape op: avoid isolated int16; excluded op type
107,-1026.500,/Transpose_1,TRANSPOSE,107,147600,15.910,17.000,0,0,1x4x36x1025,119,121,late-stage node; memory/shape op: avoid isolated int16; excluded op type
108,-1027.978,/output/conv/Conv/pads,PAD,17,1216,9.506,25.000,0,0,1x1x38x32,18,20,name hint: out; memory/shape op: avoid isolated int16; excluded op type
