rank,score,name,op,depth,rough_ops,latency_risk,boundary_risk,qerror,eligible,output_shape,producers,consumers,reasons
166,-1034.143,/Concat_6/Transpose_0.3.1.2,TRANSPOSE,79,20480,11.624,17.000,0,0,1x160x2x64,85,100,memory/shape op: avoid isolated int16; excluded op type
167,-1034.143,/Concat_5/Transpose_0.3.1.2,TRANSPOSE,68,20480,11.624,17.000,0,0,1x160x2x64,73,102,memory/shape op: avoid isolated int16; excluded op type
168,-1034.143,/Concat_4/Transpose_0.3.1.2,TRANSPOSE,57,20480,11.624,17.000,0,0,1x160x2x64,61,104,memory/shape op: avoid isolated int16; excluded op type
169,-1034.143,/Concat_3/Transpose_0.3.1.2,TRANSPOSE,46,20480,11.624,17.000,0,0,1x160x2x64,49,106,memory/shape op: avoid isolated int16; excluded op type
170,-1034.143,/Concat_2/Transpose_0.3.1.2,TRANSPOSE,35,20480,11.624,17.000,0,0,1x160x2x64,37,108,memory/shape op: avoid isolated int16; excluded op type
171,-1034.143,/Concat_1/Transpose_0.3.1.2,TRANSPOSE,24,20480,11.624,17.000,0,0,1x160x2x64,25,110,memory/shape op: avoid isolated int16; excluded op type
172,-1034.143,/Concat/Transpose_0.3.1.2,TRANSPOSE,13,20480,11.624,17.000,0,0,1x160x2x64,13,112,memory/shape op: avoid isolated int16; excluded op type
173,-1036.345,/Slice_8,STRIDED_SLICE,1,1025,8.128,22.500,0,0,1x1x1x1025,,114;141;148;157;164;173,memory/shape op: avoid isolated int16; excluded op type
174,-1036.345,/Slice_9,STRIDED_SLICE,1,1025,8.128,22.500,0,0,1x1x1x1025,,136;144;152;160;168;176,memory/shape op: avoid isolated int16; excluded op type
175,-1040.143,/Concat,CONCATENATION,12,20480,11.624,25.000,0,0,1x2x64x160,11;12,14;111,memory/shape op: avoid isolated int16; excluded op type
176,-1040.143,/Concat_1,CONCATENATION,23,20480,11.624,25.000,0,0,1x2x64x160,23;24,26;109,memory/shape op: avoid isolated int16; excluded op type
177,-1040.143,/Concat_2,CONCATENATION,34,20480,11.624,25.000,0,0,1x2x64x160,35;36,38;107,memory/shape op: avoid isolated int16; excluded op type
178,-1040.143,/Concat_3,CONCATENATION,45,20480,11.624,25.000,0,0,1x2x64x160,47;48,50;105,memory/shape op: avoid isolated int16; excluded op type
179,-1040.143,/Concat_4,CONCATENATION,56,20480,11.624,25.000,0,0,1x2x64x160,59;60,62;103,memory/shape op: avoid isolated int16; excluded op type
180,-1040.143,/Concat_5,CONCATENATION,67,20480,11.624,25.000,0,0,1x2x64x160,71;72,74;101,memory/shape op: avoid isolated int16; excluded op type
181,-1040.143,/Concat_6,CONCATENATION,78,20480,11.624,25.000,0,0,1x2x64x160,83;84,86;99,memory/shape op: avoid isolated int16; excluded op type
182,-1040.143,/Concat_7,CONCATENATION,89,20480,11.624,25.000,0,0,1x2x64x160,0;95,97;115,memory/shape op: avoid isolated int16; excluded op type
